ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,COEMISSIO
1.6,4.0,10.5,216.0
1.6,4.0,9.8,205.0
3.2,6.0,13.7,265.0
3.5,6.0,15.0,301.0
1.8,4.0,11.4,230.0
1.8,4.0,10.6,219.0
1.8,4.0,10.8,223.0
3.0,6.0,15.2,306.0
3.2,6.0,15.4,306.0
1.8,4.0,12.9,251.0
1.8,4.0,11.1,223.0
2.8,6.0,14.6,285.0
2.8,6.0,13.2,260.0
1.8,4.0,13.6,267.0
1.8,4.0,12.1,246.0
2.8,6.0,14.9,292.0
2.8,6.0,14.3,288.0
2.8,6.0,15.0,294.0
2.8,6.0,15.4,306.0
2.7,6.0,15.2,304.0
2.7,6.0,15.2,304.0
2.8,6.0,15.4,306.0
2.8,6.0,14.6,297.0
4.2,8.0,15.5,308.0
4.2,8.0,15.5,308.0
2.7,6.0,15.2,304.0
2.7,6.0,15.2,304.0
1.8,4.0,13.1,260.0
1.8,4.0,13.1,260.0
1.8,4.0,12.3,246.0
1.8,4.0,13.1,260.0
2.5,6.0,14.6,292.0
2.5,6.0,13.9,281.0
2.5,6.0,13.8,271.0
2.5,6.0,13.0,258.0
2.5,6.0,13.8,271.0
2.5,6.0,13.0,258.0
2.8,6.0,13.9,274.0
2.8,6.0,13.0,258.0
2.8,6.0,13.9,274.0
2.8,6.0,13.0,258.0
2.8,6.0,14.6,288.0
2.8,6.0,13.0,258.0
2.8,6.0,14.6,288.0
2.8,6.0,14.5,285.0
4.4,8.0,14.7,294.0
4.4,8.0,16.4,317.0
4.4,8.0,15.5,320.0
4.4,8.0,15.4,308.0
4.4,8.0,15.4,308.0
5.4,12.0,19.1,373.0
3.2,6.0,13.9,281.0
3.2,6.0,13.9,281.0
4.9,8.0,19.6,375.0
4.4,8.0,14.9,294.0
2.5,6.0,14.0,278.0
2.5,6.0,13.4,267.0
2.8,6.0,13.9,278.0
2.8,6.0,13.9,278.0
4.9,8.0,19.3,380.0
3.1,6.0,13.1,255.0
3.8,6.0,13.8,265.0
3.8,6.0,14.4,276.0
3.8,6.0,15.1,290.0
3.8,6.0,13.5,262.0
3.8,6.0,15.1,290.0
3.0,6.0,14.7,294.0
4.6,8.0,15.5,297.0
4.6,8.0,15.5,297.0
5.7,8.0,21.2,430.0
4.6,8.0,15.5,297.0
4.3,6.0,17.0,350.0
4.3,6.0,17.4,359.0
4.3,6.0,16.2,336.0
4.3,6.0,17.7,368.0
4.3,6.0,16.2,336.0
4.3,6.0,16.3,327.0
4.3,6.0,16.9,350.0
4.3,6.0,18.7,386.0
4.3,6.0,17.7,368.0
4.3,6.0,18.5,384.0
4.8,8.0,16.3,334.0
4.8,8.0,18.9,373.0
5.3,8.0,16.7,343.0
5.3,8.0,17.9,373.0
6.0,8.0,21.4,435.0
3.8,6.0,13.9,269.0
3.8,6.0,13.7,262.0
5.7,8.0,15.4,306.0
5.7,8.0,14.7,285.0
2.2,4.0,11.6,232.0
2.2,4.0,12.2,235.0
2.4,4.0,12.5,248.0
2.4,4.0,12.1,235.0
2.2,4.0,11.8,242.0
5.7,8.0,15.5,308.0
5.7,8.0,14.4,278.0
4.3,6.0,17.8,368.0
5.0,8.0,18.2,373.0
5.7,8.0,19.3,398.0
4.3,6.0,18.3,380.0
5.0,8.0,18.5,384.0
5.7,8.0,20.6,426.0
3.4,6.0,13.6,260.0
3.8,6.0,13.5,262.0
4.3,6.0,17.0,350.0
4.3,6.0,18.7,386.0
4.8,8.0,17.3,366.0
4.8,8.0,20.1,405.0
5.3,8.0,18.0,377.0
5.7,8.0,21.1,430.0
3.4,6.0,13.6,260.0
3.8,6.0,13.5,262.0
3.1,6.0,13.1,255.0
1.0,3.0,7.1,147.0
1.3,4.0,9.1,191.0
1.3,4.0,7.6,156.0
5.3,8.0,18.9,391.0
4.8,8.0,18.7,391.0
5.3,8.0,18.9,391.0
4.8,8.0,18.7,391.0
5.3,8.0,18.9,391.0
2.2,4.0,13.8,278.0
2.2,4.0,12.2,246.0
4.3,6.0,15.4,313.0
4.3,6.0,16.1,322.0
4.3,6.0,16.8,345.0
4.3,6.0,16.3,329.0
2.0,4.0,11.7,251.0
2.0,4.0,11.9,255.0
1.6,4.0,10.5,228.0
2.0,4.0,11.7,251.0
2.0,4.0,11.9,255.0
3.4,6.0,14.0,281.0
3.5,6.0,14.4,283.0
2.4,4.0,13.4,265.0
2.5,6.0,13.6,269.0
2.7,6.0,13.2,260.0
3.2,6.0,14.2,276.0
2.7,6.0,13.2,260.0
2.7,6.0,13.2,258.0
3.2,6.0,14.2,274.0
3.5,6.0,14.4,283.0
3.5,6.0,14.7,288.0
2.0,4.0,10.9,223.0
2.0,4.0,9.6,198.0
2.4,4.0,13.4,276.0
2.4,4.0,13.2,269.0
2.5,6.0,13.5,267.0
2.5,6.0,13.6,269.0
2.5,6.0,14.7,288.0
3.8,6.0,15.2,304.0
3.8,6.0,16.2,320.0
1.5,4.0,11.3,216.0
